贿	賄	Bribe (n.)	huì	贿赂	huì lù	to bribe		hối lộ		hối		80	88	deck:current tag:RSH is:suspended (hanzi:贿 or keyword:"ten" or keyword:"p.animal legs" or keyword:"month" or keyword:"eye" or keyword:"p.by one's side" or keyword:"possess" or keyword:"shellfish")	10	FSI-StandardChinese-ORN1 RSH RSH1 RSH1-05 Traditional Traditional-easy-to-learn Traditional-element-shellfish
p.畐		p.Wealth								phúc		v1p54	89		9	Primitive RSH RSH1 RSH1-05
贡	貢	Tribute	gòng	贡品	gòng pǐn	tribute				cống		81	90	deck:current tag:RSH is:suspended (hanzi:贡 or keyword:"p.animal legs" or keyword:"work (n.)" or keyword:"shellfish" or keyword:"eye")	7	FSI-StandardChinese-ORN1 RSH RSH1 RSH1-05 Traditional Traditional-easy-to-learn Traditional-element-shellfish
项	項	Item	xiàng	项目	xiàng mù			hạng mục		hạng		82	91	deck:current tag:RSH is:suspended (hanzi:项 or keyword:"one" or keyword:"work (n.)" or keyword:"p.a drop of" or keyword:"p.animal legs" or keyword:"eye" or keyword:"page" or keyword:"shellfish")	9	FSI-StandardChinese-ORN1 RSH RSH1 RSH1-05 Traditional Traditional-easy-to-learn Traditional-element-shellfish
刀		Sword	dāo	一刀切	yī dāo qiē	lit. to cut all at one stroke (idiom); to impose uniformity				đao		83	92	deck:current tag:RSH is:suspended (hanzi:刀)	2	FSI-StandardChinese-ORN1 RSH RSH1 RSH1-05 SameSimpTrad
刃		Blade	rèn	刀刃	dāo rèn	knife blade		đao nhận, thủ nhận		nhận		84	93	deck:current tag:RSH is:suspended (hanzi:刃 or keyword:"sword" or keyword:"p.a drop of")	3	FSI-StandardChinese-ORN1 RSH RSH1 RSH1-05 SameSimpTrad
切		Cut (v.)	{qiē,qiè,qì}	一切	yī qiè	everything, every, all		thiết đoạn		thiết		85	94	deck:current tag:RSH is:suspended (hanzi:切 or keyword:"sword" or keyword:"seven")	4	FSI-StandardChinese-ORN1 RSH RSH1 RSH1-05 SameSimpTrad
召		Summon	{zhào,shào}	召见	<u>zhào</u>&nbsp;jiàn	call in (one's subordinates)				triệu		86	95	deck:current tag:RSH is:suspended (hanzi:召 or keyword:"sword" or keyword:"mouth")	5	FSI-StandardChinese-ORN1 RSH RSH1 RSH1-05 SameSimpTrad
昭		Evident	zhāo	昭示	zhāo shì	to make clear		chiêu minh		chiêu		87	96	deck:current tag:RSH is:suspended (hanzi:昭 or keyword:"sword" or keyword:"mouth" or keyword:"day" or keyword:"summon")	9	FSI-StandardChinese-ORN1 RSH RSH1 RSH1-05 SameSimpTrad
则	則	Rule (n.)	zé	规则	guī <u>zé</u>	rule		nguyên tắc		tắc		88	97	deck:current tag:RSH is:suspended (hanzi:则 or keyword:"p.animal legs" or keyword:"sword" or keyword:"shellfish" or keyword:"eye")	6	FSI-StandardChinese-ORN1 RSH RSH1 RSH1-05 Traditional Traditional-easy-to-learn Traditional-element-shellfish
副		Vice-	fù	副将	fù jiàng	vice-general		phó bản, phó tướng		phó		89	98	deck:current tag:RSH is:suspended (hanzi:副 or keyword:"p.wealth" or keyword:"mouth" or keyword:"sword" or keyword:"rice field" or keyword:"one")	11	FSI-StandardChinese-ORN1 RSH RSH1 RSH1-05 SameSimpTrad
丁		Fourth (nail)	{dīng,zhēng}					gia đinh		đinh		90	99	deck:current tag:RSH is:suspended (hanzi:丁)	2	FSI-StandardChinese-ORN1 RSH RSH1 RSH1-05 SameSimpTrad
叮		Sting (v.)	dīng	叮当	dīng dāng	bell sound				đinh		91	100	deck:current tag:RSH is:suspended (hanzi:叮 or keyword:"fourth" or keyword:"mouth")	5	FSI-StandardChinese-ORN1 RSH RSH1 RSH1-05 SameSimpTrad
可		Can	{kě,kè}	可爱	kě ài	adorable				khả		92	101	deck:current tag:RSH is:suspended (hanzi:可 or keyword:"fourth" or keyword:"mouth")	5	FSI-StandardChinese-ORN1 RSH RSH1 RSH1-05 SameSimpTrad
哥		Older Brother	gē	哥哥	gē gē	older brother				ca		93	102	deck:current tag:RSH is:suspended (hanzi:哥 or keyword:"fourth" or keyword:"mouth" or keyword:"can")	10	FSI-StandardChinese-ORN1 RSH RSH1 RSH1-05 SameSimpTrad
